Rank on List,Ethnicity,Gender,Race,Project Type,VI Score,Household Type
370,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,TH,13,Household with Children
371,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,TH,12,Household with Children
372,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,TH,12,Household with Children
373,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,TH,12,Household with Children
374,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,TH,12,Household with Children
375,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,TH,12,Household with Children
376,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,TH,11,Household with Children
377,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,TH,11,Household with Children
378,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,TH,10,Household with Children
379,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,TH,10,Household with Children
380,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,TH,10,Household with Children
381,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",TH,10,Household with Children
382,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,TH,9,Household with Children
383,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,TH,9,Household with Children
384,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",TH,9,Household with Children
385,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,TH,9,Household with Children
386,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",TH,9,Household with Children
387,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,TH,9,Household with Children
388,Hispanic/Latin(a)(o)(x),Female,Multi-Racial,TH,9,Household with Children
389,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,TH,9,Household with Children
390,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",TH,9,Household with Children
391,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,TH,9,Household with Children
392,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,TH,9,Household with Children
393,Non-Hispanic/Non-Latin(a)(o)(x),Female,"American Indian, Alaska Native, or Indigenous",TH,8,Household with Children
394,Non-Hispanic/Non-Latin(a)(o)(x),Male,"Black, African American, or African",TH,8,Household with Children
395,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,TH,8,Household with Children
396,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,TH,9,Household with Children
397,Non-Hispanic/Non-Latin(a)(o)(x),Female,"American Indian, Alaska Native, or Indigenous",TH,7,Household with Children
398,Non-Hispanic/Non-Latin(a)(o)(x),Male,Multi-Racial,TH,7,Household with Children
399,Hispanic/Latin(a)(o)(x),Female,White,TH,6,Household with Children
400,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,TH,5,Household with Children
401,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,TH,3,Household with Children
402,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,TH,19,Household with Children
403,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,TH,19,Household with Children
404,Non-Hispanic/Non-Latin(a)(o)(x),Female,"American Indian, Alaska Native, or Indigenous",TH,17,Household with Children
405,Hispanic/Latin(a)(o)(x),Female,"American Indian, Alaska Native, or Indigenous",TH,16,Household with Children
406,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,TH,14,Household with Children
407,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,TH,14,Household with Children
408,Non-Hispanic/Non-Latin(a)(o)(x),Female,"American Indian, Alaska Native, or Indigenous",TH,13,Household with Children
409,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,TH,13,Household with Children
410,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",TH,13,Household with Children
411,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",TH,13,Household with Children
412,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,TH,13,Household with Children
413,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,TH,13,Household with Children
414,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,TH,13,Household with Children
415,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,TH,13,Household with Children
416,Hispanic/Latin(a)(o)(x),Female,White,TH,13,Household with Children
417,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,TH,13,Household with Children
418,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,TH,12,Household with Children
419,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,TH,12,Household with Children
420,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,TH,12,Household with Children
421,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,TH,12,Household with Children
422,Non-Hispanic/Non-Latin(a)(o)(x),Male,Multi-Racial,TH,12,Household with Children
423,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,TH,11,Household with Children
424,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,TH,11,Household with Children
425,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,TH,11,Household with Children
426,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,TH,11,Household with Children
427,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,TH,11,Household with Children
428,Non-Hispanic/Non-Latin(a)(o)(x),Female,"American Indian, Alaska Native, or Indigenous",TH,11,Household with Children
429,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,TH,11,Household with Children
430,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,TH,11,Household with Children
431,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",TH,11,Household with Children
432,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",TH,11,Household with Children
433,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,TH,10,Household with Children
434,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",TH,10,Household with Children
435,Non-Hispanic/Non-Latin(a)(o)(x),Male,"Black, African American, or African",TH,10,Household with Children
436,Hispanic/Latin(a)(o)(x),Female,Data not collected,TH,10,Household with Children
437,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,TH,10,Household with Children
438,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",TH,10,Household with Children
439,Non-Hispanic/Non-Latin(a)(o)(x),Male,Multi-Racial,TH,10,Household with Children
440,Non-Hispanic/Non-Latin(a)(o)(x),Female,"American Indian, Alaska Native, or Indigenous",TH,10,Household with Children
441,Non-Hispanic/Non-Latin(a)(o)(x),Female,"American Indian, Alaska Native, or Indigenous",TH,10,Household with Children
442,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",TH,9,Household with Children
443,Non-Hispanic/Non-Latin(a)(o)(x),Male,"American Indian, Alaska Native, or Indigenous",TH,9,Household with Children
444,Hispanic/Latin(a)(o)(x),Female,White,TH,9,Household with Children
445,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",TH,9,Household with Children
446,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",TH,9,Household with Children
447,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",TH,9,Household with Children
448,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",TH,9,Household with Children
449,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,TH,9,Household with Children
450,Non-Hispanic/Non-Latin(a)(o)(x),Male,Multi-Racial,TH,9,Household with Children
451,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,TH,9,Household with Children
452,Data not collected,Female,White,TH,9,Household with Children
453,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,TH,9,Household with Children
454,Non-Hispanic/Non-Latin(a)(o)(x),Male,"American Indian, Alaska Native, or Indigenous",TH,9,Household with Children
455,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,TH,9,Household with Children
456,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,TH,9,Household with Children
457,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,TH,9,Household with Children
458,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,TH,9,Household with Children
459,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,TH,8,Household with Children
460,Non-Hispanic/Non-Latin(a)(o)(x),Female,"American Indian, Alaska Native, or Indigenous",TH,8,Household with Children
461,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,TH,8,Household with Children
462,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",TH,8,Household with Children
463,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,TH,8,Household with Children
464,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,TH,8,Household with Children
465,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,TH,8,Household with Children
466,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,TH,8,Household with Children
467,Non-Hispanic/Non-Latin(a)(o)(x),Female,"American Indian, Alaska Native, or Indigenous",TH,8,Household with Children
468,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",TH,7,Household with Children
469,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,TH,7,Household with Children
470,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,TH,7,Household with Children
471,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",TH,7,Household with Children
472,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",TH,7,Household with Children
473,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,TH,7,Household with Children
474,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,TH,7,Household with Children
475,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",TH,7,Household with Children
476,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",TH,7,Household with Children
477,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",TH,7,Household with Children
478,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,TH,7,Household with Children
479,Hispanic/Latin(a)(o)(x),Female,"American Indian, Alaska Native, or Indigenous",TH,6,Household with Children
480,Hispanic/Latin(a)(o)(x),Female,Multi-Racial,TH,6,Household with Children
481,Non-Hispanic/Non-Latin(a)(o)(x),Male,Multi-Racial,TH,6,Household with Children
482,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,TH,6,Household with Children
483,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,TH,6,Household with Children
484,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",TH,6,Household with Children
485,Hispanic/Latin(a)(o)(x),Female,Multi-Racial,TH,6,Household with Children
486,Hispanic/Latin(a)(o)(x),Female,White,TH,6,Household with Children
487,Hispanic/Latin(a)(o)(x),Male,White,TH,6,Household with Children
488,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",TH,6,Household with Children
489,Hispanic/Latin(a)(o)(x),Female,Multi-Racial,TH,6,Household with Children
490,Non-Hispanic/Non-Latin(a)(o)(x),Female,"American Indian, Alaska Native, or Indigenous",TH,6,Household with Children
491,Non-Hispanic/Non-Latin(a)(o)(x),Male,Multi-Racial,TH,5,Household with Children
492,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,TH,5,Household with Children
493,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",TH,5,Household with Children
494,Non-Hispanic/Non-Latin(a)(o)(x),Female,"American Indian, Alaska Native, or Indigenous",TH,5,Household with Children
495,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,TH,5,Household with Children
496,Non-Hispanic/Non-Latin(a)(o)(x),Male,"Black, African American, or African",TH,4,Household with Children
497,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",TH,4,Household with Children
498,Non-Hispanic/Non-Latin(a)(o)(x),Male,"Black, African American, or African",TH,4,Household with Children
499,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,TH,4,Household with Children
500,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,TH,4,Household with Children
501,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",TH,4,Household with Children
502,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,TH,4,Household with Children
503,Hispanic/Latin(a)(o)(x),Female,Multi-Racial,TH,3,Household with Children
504,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,TH,3,Household with Children
505,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,TH,2,Household with Children
1,Hispanic/Latin(a)(o)(x),Female,Client refused,PSH,8,Household without Children
2,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,7,Household without Children
3,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,7,Household without Children
4,Hispanic/Latin(a)(o)(x),Male,White,PSH,7,Household without Children
5,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,7,Household without Children
6,Non-Hispanic/Non-Latin(a)(o)(x),Male,"Black, African American, or African",PSH,7,Household without Children
7,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,13,Household without Children
8,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,7,Household without Children
9,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,13,Household without Children
10,Non-Hispanic/Non-Latin(a)(o)(x),Male,"Black, African American, or African",PSH,6,Household without Children
11,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,10,Household without Children
12,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,5,Household without Children
13,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,8,Household without Children
14,Hispanic/Latin(a)(o)(x),Female,White,PSH,6,Household without Children
15,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,6,Household without Children
16,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,3,Household without Children
17,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,8,Household without Children
18,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,6,Household without Children
19,Hispanic/Latin(a)(o)(x),Male,White,PSH,12,Household without Children
20,Non-Hispanic/Non-Latin(a)(o)(x),Transgender,White,PSH,5,Household without Children
21,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,9,Household without Children
22,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,8,Household without Children
23,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,6,Household without Children
24,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,8,Household without Children
25,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,13,Household without Children
26,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,10,Household without Children
27,Non-Hispanic/Non-Latin(a)(o)(x),Male,"Black, African American, or African",PSH,9,Household without Children
28,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,8,Household without Children
29,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,5,Household without Children
30,Non-Hispanic/Non-Latin(a)(o)(x),Male,"Black, African American, or African",PSH,6,Household without Children
31,Non-Hispanic/Non-Latin(a)(o)(x),Female,"American Indian, Alaska Native, or Indigenous",PSH,7,Household without Children
32,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,8,Household without Children
33,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,9,Household without Children
34,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,10,Household without Children
35,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,9,Household without Children
36,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,4,Household without Children
37,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,10,Household without Children
38,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,8,Household without Children
39,Non-Hispanic/Non-Latin(a)(o)(x),Male,"Black, African American, or African",PSH,8,Household without Children
40,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,8,Household without Children
41,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,7,Household without Children
42,Hispanic/Latin(a)(o)(x),Female,"American Indian, Alaska Native, or Indigenous",PSH,7,Household without Children
43,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,3,Household without Children
44,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,7,Household without Children
45,Non-Hispanic/Non-Latin(a)(o)(x),Male,"Black, African American, or African",PSH,11,Household without Children
46,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,9,Household without Children
47,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,6,Household without Children
48,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,12,Household without Children
49,Non-Hispanic/Non-Latin(a)(o)(x),Male,"Black, African American, or African",PSH,14,Household without Children
50,Non-Hispanic/Non-Latin(a)(o)(x),Transgender,White,PSH,12,Household without Children
51,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,#N/A,Household without Children
52,Non-Hispanic/Non-Latin(a)(o)(x),Male,"Black, African American, or African",PSH,11,Household without Children
53,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,5,Household without Children
54,Non-Hispanic/Non-Latin(a)(o)(x),Female,"American Indian, Alaska Native, or Indigenous",PSH,10,Household without Children
55,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,9,Household without Children
56,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,15,Household without Children
57,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,15,Household without Children
58,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,14,Household without Children
59,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,14,Household without Children
60,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,13,Household without Children
61,Non-Hispanic/Non-Latin(a)(o)(x),Male,"Black, African American, or African",PSH,13,Household without Children
62,Non-Hispanic/Non-Latin(a)(o)(x),Male,Multi-Racial,PSH,#N/A,Household without Children
63,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,12,Household without Children
64,Non-Hispanic/Non-Latin(a)(o)(x),Male,Multi-Racial,PSH,12,Household without Children
65,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,12,Household without Children
66,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,12,Household without Children
67,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,11,Household without Children
68,Non-Hispanic/Non-Latin(a)(o)(x),Male,"Black, African American, or African",PSH,11,Household without Children
69,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,11,Household without Children
70,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,10,Household without Children
71,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,10,Household without Children
72,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,10,Household without Children
73,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,10,Household without Children
74,Hispanic/Latin(a)(o)(x),Male,"Black, African American, or African",PSH,9,Household without Children
75,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,9,Household without Children
76,Non-Hispanic/Non-Latin(a)(o)(x),Male,Asian or Asian American,PSH,9,Household without Children
77,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,9,Household without Children
78,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,9,Household without Children
79,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,9,Household without Children
80,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,8,Household without Children
81,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,8,Household without Children
82,Non-Hispanic/Non-Latin(a)(o)(x),Female,"American Indian, Alaska Native, or Indigenous",PSH,8,Household without Children
83,Non-Hispanic/Non-Latin(a)(o)(x),Male,"Black, African American, or African",PSH,8,Household without Children
84,Non-Hispanic/Non-Latin(a)(o)(x),Male,Multi-Racial,PSH,8,Household without Children
85,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,8,Household without Children
86,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,7,Household without Children
87,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,7,Household without Children
88,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,7,Household without Children
89,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,7,Household without Children
90,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,7,Household without Children
91,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,6,Household without Children
92,Non-Hispanic/Non-Latin(a)(o)(x),Male,"American Indian, Alaska Native, or Indigenous",PSH,6,Household without Children
93,Non-Hispanic/Non-Latin(a)(o)(x),Male,"American Indian, Alaska Native, or Indigenous",PSH,6,Household without Children
94,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,6,Household without Children
95,Non-Hispanic/Non-Latin(a)(o)(x),Male,"American Indian, Alaska Native, or Indigenous",PSH,5,Household without Children
96,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,5,Household without Children
97,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,4,Household without Children
98,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,3,Household without Children
99,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,12,Household without Children
100,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,11,Household without Children
101,Data not collected,Male,"American Indian, Alaska Native, or Indigenous",PSH,8,Household without Children
102,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,10,Household without Children
103,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,10,Household without Children
104,Non-Hispanic/Non-Latin(a)(o)(x),Female,"American Indian, Alaska Native, or Indigenous",PSH,8,Household without Children
105,Non-Hispanic/Non-Latin(a)(o)(x),Male,Multi-Racial,PSH,7,Household without Children
106,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,7,Household without Children
107,Hispanic/Latin(a)(o)(x),Male,Multi-Racial,PSH,16,Household without Children
108,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,8,Household without Children
109,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,8,Household without Children
110,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,7,Household without Children
111,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,3,Household without Children
112,Non-Hispanic/Non-Latin(a)(o)(x),Female,"American Indian, Alaska Native, or Indigenous",PSH,11,Household without Children
113,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,8,Household without Children
114,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,10,Household without Children
115,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,8,Household without Children
116,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,PSH,7,Household without Children
117,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,6,Household without Children
118,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,#N/A,Household without Children
119,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",PSH,11,Household without Children
120,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,11,Household without Children
121,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,11,Household without Children
122,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,10,Household without Children
123,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,8,Household without Children
124,Non-Hispanic/Non-Latin(a)(o)(x),Female,"American Indian, Alaska Native, or Indigenous",PSH,5,Household without Children
125,Non-Hispanic/Non-Latin(a)(o)(x),Male,"Black, African American, or African",PSH,8,Household without Children
126,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,8,Household without Children
127,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,8,Household without Children
128,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,0,Household without Children
129,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,11,Household without Children
130,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,11,Household without Children
131,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,10,Household without Children
132,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,9,Household without Children
133,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,8,Household without Children
134,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,13,Household without Children
135,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,7,Household without Children
136,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,7,Household without Children
137,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,10,Household without Children
138,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,4,Household without Children
139,Non-Hispanic/Non-Latin(a)(o)(x),Male,"Black, African American, or African",PSH,3,Household without Children
140,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,8,Household without Children
141,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,12,Household without Children
142,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,11,Household without Children
143,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,9,Household without Children
144,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,12,Household without Children
145,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,14,Household without Children
146,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,12,Household without Children
147,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,10,Household without Children
148,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,8,Household without Children
149,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,8,Household without Children
150,Non-Hispanic/Non-Latin(a)(o)(x),Other gender,White,PSH,8,Household without Children
151,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,PSH,7,Household without Children
152,Non-Hispanic/Non-Latin(a)(o)(x),Female,Asian or Asian American,PSH,11,Household without Children
153,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,9,Household without Children
154,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,14,Household without Children
155,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,11,Household without Children
156,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,6,Household without Children
157,Hispanic/Latin(a)(o)(x),Male,"American Indian, Alaska Native, or Indigenous",PSH,6,Household without Children
158,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,13,Household without Children
159,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,12,Household without Children
160,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,12,Household without Children
161,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,11,Household without Children
162,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,9,Household without Children
163,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,7,Household without Children
164,Non-Hispanic/Non-Latin(a)(o)(x),Male,Multi-Racial,PSH,13,Household without Children
165,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,9,Household without Children
166,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,7,Household without Children
167,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,7,Household without Children
168,Non-Hispanic/Non-Latin(a)(o)(x),Male,"Black, African American, or African",PSH,9,Household without Children
169,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,8,Household without Children
